fecha,ciudad,categoria,producto,cantidad,precio_unitario,total_venta
2025-11-24,Medellín,Tecnología,Monitor,8,60513,484104
2025-03-13,Medellín,Papelería,Cuaderno,19,112604,2139476
2025-01-17,Medellín,Tecnología,Teclado,8,134475,1075800
2025-11-05,Medellín,Papelería,Lapicero,18,111974,2015532
2025-04-23,Barranquilla,Papelería,Marcador,1,200916,200916
2025-03-23,Barranquilla,Ropa,Zapatos,5,58443,292215
2025-06-22,Medellín,Tecnología,Memoria USB,4,96104,384416
2025-06-26,Apartadó,Ropa,Camisa,15,142568,2138520
2025-03-05,Barranquilla,Tecnología,Audífonos,10,219423,2194230
2025-11-18,Apartadó,Ropa,Gorra,7,186699,1306893
2025-02-05,Medellín,Hogar,Lámpara,3,226216,678648
2025-04-30,Medellín,Alimentos,Café,15,168640,2529600
2025-07-06,Bogotá,Ropa,Zapatos,7,177682,1243774
2025-05-17,Medellín,Papelería,Lapicero,18,193136,3476448
2025-05-06,Bogotá,Alimentos,Azúcar,9,244585,2201265
2025-11-24,Apartadó,Hogar,Lámpara,2,62043,124086
2025-01-17,Cali,Alimentos,Café,3,57307,171921
2025-10-18,Cali,Hogar,Ventilador,13,233914,3040882
2025-11-26,Barranquilla,Hogar,Lámpara,5,66651,333255
2025-10-15,Apartadó,Ropa,Gorra,14,237358,3323012
2025-10-26,Barranquilla,Ropa,Pantalón,5,135569,677845
2025-09-10,Medellín,Tecnología,Mouse,5,166481,832405
2025-03-23,Barranquilla,Papelería,Cuaderno,13,102039,1326507
2025-11-02,Barranquilla,Papelería,Marcador,18,227648,4097664
2025-01-06,Medellín,Papelería,Marcador,11,31242,343662
2025-05-31,Barranquilla,Hogar,Ventilador,1,191292,191292
2025-05-15,Apartadó,Hogar,Organizador,4,230201,920804
2025-11-17,Cali,Papelería,Resma,7,42065,294455
2025-07-11,Bogotá,Papelería,Resma,1,159009,159009
2025-06-15,Barranquilla,Tecnología,Mouse,12,232351,2788212
2025-06-07,Bogotá,Tecnología,Teclado,19,22645,430255
2025-02-13,Barranquilla,Tecnología,Audífonos,5,35657,178285
2025-12-04,Barranquilla,Papelería,Lapicero,9,140326,1262934
2025-11-07,Barranquilla,Hogar,Organizador,7,188895,1322265
2025-06-09,Barranquilla,Ropa,Chaqueta,17,120354,2046018
2025-03-03,Bogotá,Hogar,Silla,11,7514,82654
2025-10-29,Apartadó,Hogar,Organizador,8,3885,31080
2025-02-06,Medellín,Hogar,Silla,2,227348,454696
2025-06-19,Medellín,Papelería,Lapicero,9,177368,1596312
2025-09-06,Bogotá,Papelería,Lapicero,19,153050,2907950
2025-08-31,Bogotá,Alimentos,Azúcar,7,26726,187082
2025-02-19,Barranquilla,Ropa,Chaqueta,14,124427,1741978
2025-01-28,Medellín,Tecnología,Memoria USB,11,211870,2330570
2025-02-25,Bogotá,Hogar,Mesa,18,119601,2152818
2025-03-13,Barranquilla,Hogar,Lámpara,15,67485,1012275
2025-02-08,Barranquilla,Papelería,Cuaderno,2,172955,345910
2025-10-04,Medellín,Tecnología,Teclado,6,108539,651234
2025-09-06,Barranquilla,Hogar,Ventilador,2,45158,90316
2025-07-14,Medellín,Alimentos,Café,15,76776,1151640
2025-08-05,Apartadó,Alimentos,Aceite,7,79780,558460
2025-04-22,Medellín,Papelería,Resma,2,198077,396154
2025-06-10,Medellín,Tecnología,Audífonos,16,133819,2141104
2025-09-29,Bogotá,Tecnología,Audífonos,3,225174,675522
2025-04-06,Medellín,Papelería,Cuaderno,8,107847,862776
2025-03-03,Apartadó,Hogar,Organizador,20,12418,248360
2025-11-14,Medellín,Alimentos,Leche,19,139044,2641836
2025-06-11,Cali,Hogar,Lámpara,8,71629,573032
2025-07-22,Bogotá,Ropa,Chaqueta,11,245536,2700896
2025-02-07,Medellín,Alimentos,Leche,19,28209,535971
2025-02-07,Apartadó,Hogar,Organizador,9,36722,330498
2025-06-28,Medellín,Hogar,Lámpara,10,43352,433520
2025-08-13,Apartadó,Ropa,Gorra,17,4050,68850
2025-12-08,Apartadó,Ropa,Camisa,5,71328,356640
2025-03-01,Medellín,Papelería,Lapicero,9,75860,682740
2025-11-06,Bogotá,Ropa,Pantalón,9,134489,1210401
2025-09-08,Cali,Tecnología,Mouse,14,219408,3071712
2025-05-22,Medellín,Tecnología,Monitor,5,169015,845075
2025-05-15,Bogotá,Alimentos,Leche,14,149038,2086532
2025-01-05,Medellín,Tecnología,Teclado,18,11444,205992
2025-07-09,Apartadó,Papelería,Lapicero,14,35409,495726
2025-01-22,Cali,Ropa,Camisa,12,57070,684840
2025-12-16,Bogotá,Tecnología,Monitor,18,233770,4207860
2025-07-28,Apartadó,Hogar,Mesa,6,211685,1270110
2025-04-01,Barranquilla,Tecnología,Teclado,11,207097,2278067
2025-07-30,Bogotá,Ropa,Pantalón,4,102281,409124
2025-01-20,Barranquilla,Hogar,Mesa,15,93660,1404900
2025-06-06,Bogotá,Hogar,Silla,7,106455,745185
2025-06-18,Cali,Tecnología,Monitor,12,170160,2041920
2025-09-18,Barranquilla,Papelería,Marcador,1,32236,32236
2025-05-14,Bogotá,Papelería,Marcador,2,30417,60834
2025-11-02,Barranquilla,Ropa,Zapatos,14,160914,2252796
2025-09-19,Medellín,Alimentos,Leche,7,68773,481411
2025-01-23,Barranquilla,Tecnología,Audífonos,18,182055,3276990
2025-12-10,Bogotá,Ropa,Chaqueta,3,176125,528375
2025-06-19,Apartadó,Ropa,Camisa,10,134939,1349390
2025-06-08,Barranquilla,Ropa,Chaqueta,10,147335,1473350
2025-03-07,Bogotá,Alimentos,Azúcar,6,163353,980118
2025-10-19,Cali,Alimentos,Leche,1,81658,81658
2025-05-27,Bogotá,Alimentos,Leche,20,173627,3472540
2025-06-14,Barranquilla,Alimentos,Azúcar,7,136001,952007
2025-08-31,Bogotá,Tecnología,Monitor,17,176025,2992425
2025-11-21,Apartadó,Ropa,Camisa,8,178369,1426952
2025-06-08,Bogotá,Hogar,Mesa,1,14114,14114
2025-05-06,Barranquilla,Papelería,Cuaderno,15,110643,1659645
2025-11-19,Apartadó,Hogar,Ventilador,16,106766,1708256
2025-05-05,Bogotá,Tecnología,Mouse,14,59367,831138
2025-04-01,Apartadó,Alimentos,Arroz,18,67325,1211850
2025-03-04,Barranquilla,Hogar,Ventilador,17,148518,2524806
2025-11-01,Cali,Alimentos,Leche,17,113867,1935739
2025-10-08,Barranquilla,Hogar,Ventilador,15,69945,1049175
2025-05-07,Cali,Papelería,Carpeta,8,73984,591872
2025-08-14,Medellín,Ropa,Pantalón,9,90040,810360
2025-06-13,Apartadó,Tecnología,Teclado,5,62623,313115
2025-07-16,Bogotá,Hogar,Silla,14,108849,1523886
2025-06-19,Apartadó,Alimentos,Azúcar,2,56220,112440
2025-08-04,Barranquilla,Papelería,Cuaderno,19,101714,1932566
2025-09-02,Medellín,Ropa,Zapatos,13,225726,2934438
2025-08-03,Apartadó,Papelería,Resma,8,129986,1039888
2025-04-23,Cali,Alimentos,Azúcar,1,103936,103936
2025-06-22,Barranquilla,Hogar,Ventilador,5,165120,825600
2025-10-01,Medellín,Alimentos,Leche,19,175801,3340219
2025-01-14,Medellín,Alimentos,Aceite,15,49639,744585
2025-01-26,Cali,Alimentos,Café,7,121196,848372
2025-06-17,Cali,Alimentos,Café,14,68131,953834
2025-02-11,Barranquilla,Tecnología,Audífonos,2,93740,187480
2025-04-25,Medellín,Tecnología,Mouse,8,54261,434088
2025-01-11,Apartadó,Hogar,Mesa,5,126141,630705
2025-12-09,Medellín,Papelería,Lapicero,15,185360,2780400
2025-05-12,Cali,Hogar,Organizador,20,198064,3961280
2025-02-28,Bogotá,Ropa,Camisa,19,8731,165889
2025-06-09,Apartadó,Alimentos,Azúcar,7,21922,153454
2025-10-31,Bogotá,Tecnología,Monitor,20,213164,4263280
2025-03-03,Apartadó,Tecnología,Monitor,18,114296,2057328
2025-12-05,Cali,Tecnología,Audífonos,11,5316,58476
2025-08-04,Barranquilla,Tecnología,Memoria USB,12,168614,2023368
2025-08-24,Bogotá,Alimentos,Aceite,17,172513,2932721
2025-05-19,Apartadó,Papelería,Carpeta,15,116183,1742745
2025-10-31,Cali,Ropa,Pantalón,3,75119,225357
2025-08-19,Bogotá,Alimentos,Leche,20,177161,3543220
2025-07-14,Cali,Tecnología,Memoria USB,11,49668,546348
2025-09-07,Bogotá,Ropa,Zapatos,11,75310,828410
2025-11-02,Cali,Papelería,Cuaderno,17,52084,885428
2025-02-13,Bogotá,Alimentos,Azúcar,18,200748,3613464
2025-05-04,Barranquilla,Alimentos,Azúcar,1,26393,26393
2025-05-31,Bogotá,Alimentos,Aceite,10,176053,1760530
2025-10-25,Cali,Alimentos,Leche,17,92113,1565921
2025-08-06,Apartadó,Ropa,Zapatos,15,73019,1095285
2025-06-06,Cali,Hogar,Silla,7,84719,593033
2025-03-03,Apartadó,Hogar,Mesa,7,195620,1369340
2025-09-05,Cali,Papelería,Resma,20,76186,1523720
2025-02-21,Bogotá,Ropa,Pantalón,12,49039,588468
2025-06-04,Medellín,Papelería,Lapicero,9,13931,125379
2025-01-28,Apartadó,Ropa,Pantalón,16,28892,462272
2025-01-07,Apartadó,Ropa,Chaqueta,16,117466,1879456
2025-06-24,Bogotá,Tecnología,Monitor,16,31907,510512
2025-02-03,Barranquilla,Alimentos,Arroz,19,167005,3173095
2025-12-18,Medellín,Hogar,Mesa,19,81648,1551312
2025-02-13,Bogotá,Tecnología,Audífonos,14,160942,2253188
2025-11-02,Apartadó,Hogar,Organizador,13,120099,1561287
2025-08-15,Cali,Papelería,Carpeta,10,151062,1510620
2025-11-14,Medellín,Papelería,Cuaderno,7,165975,1161825
2025-04-19,Cali,Tecnología,Teclado,8,47564,380512
2025-10-10,Medellín,Hogar,Silla,14,120096,1681344
2025-12-19,Apartadó,Alimentos,Café,2,62680,125360
2025-05-28,Cali,Alimentos,Arroz,8,244197,1953576
2025-05-16,Apartadó,Hogar,Ventilador,4,144753,579012
2025-04-26,Bogotá,Ropa,Pantalón,3,17633,52899
2025-03-26,Cali,Papelería,Resma,10,117121,1171210
2025-03-05,Barranquilla,Ropa,Chaqueta,9,133195,1198755
2025-10-04,Barranquilla,Alimentos,Arroz,20,12449,248980
2025-08-10,Cali,Papelería,Marcador,1,25940,25940
2025-04-28,Apartadó,Papelería,Cuaderno,9,153059,1377531
2025-01-21,Bogotá,Alimentos,Leche,15,242142,3632130
2025-05-23,Bogotá,Papelería,Carpeta,16,25918,414688
2025-08-29,Cali,Alimentos,Café,11,177671,1954381
2025-02-23,Bogotá,Ropa,Chaqueta,16,77554,1240864
2025-12-06,Barranquilla,Papelería,Cuaderno,15,25084,376260
2025-06-11,Cali,Ropa,Camisa,13,228731,2973503
2025-09-21,Medellín,Papelería,Carpeta,14,16209,226926
2025-04-07,Apartadó,Ropa,Gorra,16,165947,2655152
2025-08-15,Medellín,Hogar,Lámpara,18,36344,654192
2025-05-28,Barranquilla,Alimentos,Arroz,1,167156,167156
2025-11-08,Bogotá,Hogar,Lámpara,18,5584,100512
2025-10-10,Barranquilla,Tecnología,Teclado,4,122965,491860
2025-03-02,Bogotá,Alimentos,Café,17,186919,3177623
2025-05-20,Barranquilla,Alimentos,Azúcar,8,121743,973944
2025-10-10,Bogotá,Alimentos,Aceite,20,135232,2704640
2025-03-11,Medellín,Ropa,Chaqueta,11,246907,2715977
2025-09-17,Cali,Tecnología,Monitor,10,221539,2215390
2025-10-28,Apartadó,Alimentos,Aceite,15,143185,2147775
2025-09-05,Cali,Ropa,Gorra,18,100883,1815894
2025-08-22,Cali,Hogar,Mesa,19,102393,1945467
2025-04-30,Barranquilla,Tecnología,Monitor,16,186871,2989936
2025-07-15,Barranquilla,Hogar,Ventilador,2,35094,70188
2025-09-15,Apartadó,Ropa,Camisa,15,28138,422070
2025-09-27,Barranquilla,Tecnología,Teclado,14,230309,3224326
2025-12-02,Bogotá,Tecnología,Memoria USB,9,90751,816759
2025-11-16,Barranquilla,Tecnología,Monitor,18,101617,1829106
2025-06-12,Barranquilla,Papelería,Cuaderno,20,19936,398720
2025-05-01,Cali,Hogar,Silla,14,27806,389284
2025-11-21,Medellín,Alimentos,Aceite,10,238827,2388270
2025-01-15,Medellín,Ropa,Camisa,10,95969,959690
2025-07-11,Barranquilla,Hogar,Mesa,17,110016,1870272
2025-10-17,Bogotá,Hogar,Mesa,3,161774,485322
2025-07-15,Apartadó,Hogar,Ventilador,19,39517,750823
2025-04-29,Barranquilla,Ropa,Chaqueta,9,176808,1591272
2025-01-05,Barranquilla,Ropa,Gorra,6,21362,128172
2025-08-15,Cali,Papelería,Marcador,14,182961,2561454
2025-05-09,Barranquilla,Ropa,Pantalón,13,225696,2934048
2025-09-05,Medellín,Hogar,Ventilador,19,96098,1825862
2025-10-22,Cali,Ropa,Camisa,13,73953,961389
2025-01-05,Apartadó,Tecnología,Audífonos,16,220323,3525168
2025-05-27,Bogotá,Papelería,Marcador,8,168885,1351080
2025-04-08,Apartadó,Ropa,Pantalón,4,238821,955284
2025-11-18,Medellín,Ropa,Chaqueta,2,153931,307862
2025-07-06,Bogotá,Tecnología,Monitor,11,197947,2177417
2025-08-01,Bogotá,Hogar,Mesa,18,231758,4171644
2025-07-07,Apartadó,Papelería,Marcador,6,69363,416178
2025-09-04,Cali,Ropa,Camisa,15,21739,326085
2025-03-14,Bogotá,Alimentos,Leche,12,25672,308064
2025-07-22,Medellín,Ropa,Gorra,4,121219,484876
2025-07-08,Cali,Papelería,Carpeta,12,30402,364824
2025-12-12,Bogotá,Alimentos,Arroz,20,233796,4675920
2025-10-15,Cali,Papelería,Lapicero,3,168567,505701
2025-08-26,Cali,Alimentos,Arroz,5,13887,69435
2025-01-20,Cali,Alimentos,Arroz,4,63551,254204
2025-10-03,Bogotá,Alimentos,Azúcar,12,177763,2133156
2025-12-23,Apartadó,Alimentos,Leche,5,234105,1170525
2025-08-01,Medellín,Alimentos,Leche,14,248167,3474338
2025-05-24,Medellín,Ropa,Pantalón,15,118574,1778610
2025-05-01,Cali,Tecnología,Monitor,18,238374,4290732
2025-11-27,Cali,Tecnología,Memoria USB,9,51757,465813
2025-03-04,Barranquilla,Tecnología,Teclado,20,7598,151960
2025-01-26,Cali,Hogar,Mesa,19,55793,1060067
2025-02-05,Apartadó,Hogar,Organizador,7,215136,1505952
2025-04-30,Cali,Hogar,Organizador,1,74685,74685
2025-03-16,Bogotá,Papelería,Marcador,6,30816,184896
2025-12-05,Medellín,Hogar,Silla,12,209089,2509068
2025-05-02,Apartadó,Ropa,Camisa,6,71564,429384
2025-01-27,Bogotá,Alimentos,Leche,4,197471,789884
2025-02-02,Barranquilla,Alimentos,Café,17,157625,2679625
2025-02-25,Barranquilla,Papelería,Lapicero,20,13367,267340
2025-12-04,Apartadó,Ropa,Chaqueta,1,17945,17945
2025-09-03,Barranquilla,Alimentos,Arroz,16,188751,3020016
2025-08-16,Medellín,Tecnología,Monitor,20,40884,817680
2025-02-03,Bogotá,Ropa,Gorra,19,145748,2769212
2025-12-31,Cali,Alimentos,Leche,17,79305,1348185
2025-08-21,Apartadó,Papelería,Carpeta,4,209905,839620
2025-12-26,Medellín,Papelería,Lapicero,14,120372,1685208
2025-04-27,Barranquilla,Ropa,Chaqueta,13,111049,1443637
2025-02-18,Cali,Alimentos,Café,9,100120,901080
2025-03-20,Barranquilla,Tecnología,Mouse,3,26439,79317
2025-08-10,Medellín,Ropa,Pantalón,18,17723,319014
2025-10-28,Apartadó,Papelería,Marcador,4,109691,438764
2025-07-01,Barranquilla,Tecnología,Monitor,20,83906,1678120
2025-06-30,Medellín,Papelería,Resma,7,42561,297927
2025-12-03,Barranquilla,Hogar,Silla,12,223609,2683308
2025-10-12,Cali,Tecnología,Monitor,19,61286,1164434
2025-08-08,Apartadó,Papelería,Resma,18,8882,159876
2025-11-08,Cali,Tecnología,Teclado,9,186208,1675872
2025-06-08,Cali,Ropa,Camisa,6,230029,1380174
2025-03-15,Apartadó,Alimentos,Arroz,5,196240,981200
2025-11-21,Medellín,Tecnología,Audífonos,7,100617,704319
2025-08-03,Barranquilla,Ropa,Pantalón,12,83693,1004316
2025-06-16,Apartadó,Papelería,Cuaderno,2,42784,85568
2025-03-22,Apartadó,Tecnología,Mouse,9,118159,1063431
2025-12-05,Barranquilla,Alimentos,Leche,15,110575,1658625
2025-05-20,Bogotá,Papelería,Cuaderno,12,114699,1376388
2025-02-26,Cali,Papelería,Carpeta,17,176884,3007028
2025-06-07,Medellín,Hogar,Ventilador,20,16360,327200
2025-01-04,Bogotá,Ropa,Pantalón,5,202320,1011600
2025-05-11,Cali,Ropa,Camisa,1,132386,132386
2025-08-09,Bogotá,Hogar,Ventilador,18,186463,3356334
2025-04-28,Apartadó,Papelería,Marcador,3,106089,318267
2025-01-22,Barranquilla,Tecnología,Memoria USB,3,227996,683988
2025-06-10,Apartadó,Alimentos,Leche,13,187990,2443870
2025-11-24,Barranquilla,Ropa,Camisa,13,7467,97071
2025-06-16,Bogotá,Papelería,Carpeta,12,25102,301224
2025-08-12,Medellín,Hogar,Ventilador,19,106975,2032525
2025-09-26,Medellín,Alimentos,Café,11,60083,660913
2025-06-20,Bogotá,Tecnología,Audífonos,4,141094,564376
2025-09-19,Bogotá,Ropa,Zapatos,5,63936,319680
2025-02-22,Bogotá,Ropa,Pantalón,6,159915,959490
2025-03-20,Medellín,Hogar,Ventilador,15,199773,2996595
2025-10-16,Apartadó,Alimentos,Leche,20,86727,1734540
2025-11-18,Cali,Hogar,Ventilador,3,124924,374772
2025-08-15,Cali,Ropa,Gorra,2,94259,188518
2025-09-17,Medellín,Ropa,Chaqueta,15,11858,177870
2025-01-30,Cali,Ropa,Camisa,3,163220,489660
2025-11-01,Apartadó,Alimentos,Azúcar,19,147310,2798890
2025-01-22,Barranquilla,Papelería,Lapicero,11,160598,1766578
2025-09-01,Apartadó,Hogar,Silla,15,29132,436980
2025-06-25,Medellín,Papelería,Lapicero,2,66944,133888
2025-12-29,Barranquilla,Alimentos,Leche,17,161856,2751552
2025-03-23,Cali,Ropa,Zapatos,13,109156,1419028
2025-06-23,Apartadó,Tecnología,Monitor,3,88426,265278
2025-02-18,Apartadó,Alimentos,Café,9,191722,1725498
2025-12-03,Apartadó,Hogar,Lámpara,3,154761,464283
2025-12-06,Bogotá,Ropa,Zapatos,13,35803,465439
2025-11-01,Medellín,Ropa,Gorra,13,170687,2218931
2025-06-18,Bogotá,Papelería,Cuaderno,14,135297,1894158
2025-07-05,Medellín,Ropa,Zapatos,6,58149,348894
